categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
VIANDES,Saucisse de Francfort,271.0,13.7,1.24,1.0,23.4,9.0,0.5,2.0,30134,8.6653657,FR
VIANDES,Merguez,283.0,19.8,1.8,1.6,21.8,12.0,0.0,2.33,30152,36.818879,FR
VIANDES,Saucisse de Strasbourg,291.0,12.4,1.39,1.06,25.9,10.9,1.37,2.21,30742,14.722782,FR
VIANDES,Quenelle de volaille,187.0,9.3,14.1,1.2,10.1,1.5,1.1,0.74,8910,7.4017373,FR
VIANDES,Quenelle de poisson,245.0,8.1,23.6,1.9,12.7,8.2,2.15,0.95,8933,6.8567315,FR
VIANDES,Quenelle nature,217.0,7.68,14.8,2.15,13.7,0.0,2.15,1.04,8937,3.5667088,FR
VIANDES,Confit de canard,273.0,25.7,0.15,0.14,18.8,7.26,0.4,1.44,8110,7.7453518,FR
VIANDES,Foie gras de canard,535.0,8.41,2.32,1.71,54.6,23.0,0.35,1.11,8328,,FR
VIANDES,Andouille,211.0,18.4,0.3,0.0,15.1,0.0,0.0,2.08,8500,16.053439,FR
VIANDES,Andouillette de Troyes,254.0,19.7,0.5,0.5,19.0,7.91,0.9,1.97,8552,15.991672,FR
VIANDES,Boudin noir,246.0,11.9,3.78,2.86,20.3,7.46,0.0,1.31,8703,9.6206509,FR
VIANDES,Boudin blanc,226.0,9.89,4.6,2.0,17.1,6.6,0.0,1.64,8801,,FR
VIANDES,Poitrine de porc fumée,303.0,15.6,0.79,0.75,26.1,9.39,1.0,2.41,28502,5.5566167,FR
VIANDES,Lardon nature,324.0,23.8,2.0,0.0,24.5,12.6,0.0,3.8,28501,5.6577879,FR
VIANDES,Viande des Grisons,209.0,38.9,1.0,1.0,5.47,2.52,0.0,3.83,28860,,FR
VIANDES,Chorizo,433.0,23.5,3.05,2.01,36.1,14.3,0.93,4.24,30315,5.4607448,FR
VIANDES,Salami,451.0,17.7,1.05,0.2,41.8,16.2,0.0,4.05,30350,5.3989777,FR
VIANDES,Saucisson cuit,322.0,13.8,1.3,0.0,29.0,0.0,0.0,1.9,30701,6.8820627,FR
VIANDES,Cervelas,278.0,11.9,1.56,0.63,24.8,9.37,0.4,1.95,30730,11.732938,FR
VIANDES,Mortadelle,305.0,15.0,1.4,0.0,26.7,10.6,0.0,2.13,30789,8.2627327,FR
VIANDES,Cordon bleu de volaille,226.0,14.0,14.6,2.2,12.2,3.2,0.78,1.73,25089,5.1467039,FR
VIANDES,Nuggets de poulet,250.0,15.6,19.4,1.3,11.6,2.68,2.4,1.37,25512,5.4644746,FR
