categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
LEGUMES,Champignon de Paris,19.4,2.23,0.7,0.0,0.37,0.065,2.5,0.63,20079,,PL
LEGUMES,Chou-rave cuit,27.0,1.8,4.4,2.8,0.11,0.014,1.1,0.053,20065,0.38690672,FR
LEGUMES,Panais cuit,67.8,1.32,13.4,4.8,0.3,0.05,3.6,0.025,20133,1.049817,FR
LEGUMES,Rutabaga cuit,34.0,0.93,4.26,3.95,0.18,0.029,1.8,0.013,20165,1.049817,FR
LEGUMES,Pois mange-tout cuit,30.5,2.25,3.39,2.3,0.3,0.08,2.8,0.013,20243,1.2776968,FR
LEGUMES,Cardon cuit,21.6,0.76,3.63,0.0,0.11,0.012,1.7,0.44,20241,1.4371682,FR
LEGUMES,Coulis de tomate,25.0,2.05,8.53,5.5,0.2,0.08,2.6,0.88,20260,0.63852785,ES
LEGUMES,Double concentré de tomate,92.8,3.73,17.0,16.5,0.29,0.0,3.62,0.93,20268,0.63060108,ES
LEGUMES,Asperge blanche cuit,18.6,1.44,1.63,1.2,0.3,0.1,1.3,0.013,20277,,FR
LEGUMES,Chou romanesco cuit,35.8,3.0,2.03,1.6,0.8,0.27,4.3,0.013,20290,,FR
LEGUMES,Courge musquée cuite,30.7,1.06,5.24,4.0,0.5,0.01,1.8,0.013,20292,,FR
LEGUMES,Asperge verte cuite,26.6,2.69,1.73,1.3,0.3,0.07,2.2,0.013,20279,1.3880947,FR
LEGUMES,Bette cuite,16.9,0.88,1.43,1.0,0.3,0.1,2.5,0.19,20005,1.2012931,FR
LEGUMES,Brocoli cuit,23.5,2.5,1.23,0.8,0.4,0.1,2.6,0.043,20006,1.3296707,FR
LEGUMES,Céleri rave cuit,26.2,0.94,4.32,1.2,0.3,0.09,2.6,0.093,20025,1.049817,FR
LEGUMES,Endive cuite,23.5,1.13,4.38,3.2,0.3,0.01,0.5,0.013,20026,0.79470609,FR
LEGUMES,Fenouil cuit,13.7,0.5,1.94,1.3,0.3,0.01,1.8,0.028,20028,0.9716564,FR
LEGUMES,Haricot beurre cuit,34.6,2.19,4.45,2.2,0.3,0.09,2.7,0.013,20195,0.47597288,FR
LEGUMES,Haricot vert cuit,28.0,1.75,3.39,2.5,0.3,0.01,3.2,0.013,20030,1.1966239,FR
LEGUMES,Navet cuit,21.1,0.75,3.23,2.8,0.3,0.01,2.1,0.025,20033,1.049817,FR
LEGUMES,Petits pois cuit,80.3,6.38,9.93,1.6,0.6,0.15,4.8,0.023,20037,0.93844673,FR
LEGUMES,Poireau cuit,27.4,2.56,2.23,1.8,0.3,0.01,3.4,0.013,20040,1.4333995,FR
LEGUMES,Salsifis cuit,57.9,2.63,9.29,2.3,0.3,0.01,4.5,0.02,20046,1.049817,FR
LEGUMES,Épinard cuit,28.1,3.38,0.85,0.0,0.7,0.13,3.5,0.03,20027,0.91740245,FR
